ID,REG,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
FRA,France,4669,582,1903,3349,109718,113067,68341,10308,12936,8239,13239
IDF,Ile-de-France,s,s,s,s,s,4996,2523,883,42,746,802
CVL,Centre-Val de Loire,165,3,103,65,3732,3798,2459,490,22,364,462
BFC,Bourgogne-Franche-Comté,s,0,s,3,5857,5860,3421,s,s,361,510
NOR,Normandie,407,0,191,216,8340,8556,6424,542,69,551,970
HDF,Hauts-de-France,s,s,302,1187,21738,22925,12614,1773,5226,1359,1952
GRE,Grand Est,921,8,257,672,17755,18427,12914,1986,206,1622,1698
PAL,Pays de la Loire,s,s,36,68,5742,5810,3855,558,51,470,876
BRE,Bretagne,s,s,s,s,s,4277,2514,411,39,314,999
NOA,Nouvelle-Aquitaine,s,s,138,316,7012,7328,5018,s,s,498,888
OCC,Occitanie,s,s,s,s,s,3994,2439,405,160,413,576
ARA,Auvergne-Rhône-Alpes,190,362,440,112,18607,18719,8480,1852,4595,1188,2604
PAC,Provence-Alpes-Côte d'Azur,s,s,90,410,7458,7868,5361,243,1180,327,757
DOM,Départements d’Outre-mer,11,0,0,11,497,508,318,18,0,24,143
